year,month,volume
2020,Dec,1551124000
2020,Nov,498858000
2021,Apr,1536792000
2021,Aug,1256964000
2021,Dec,1287634000
2021,Feb,1442140000
2021,Jan,1430578000
2021,Jul,1674586000
2021,Jun,1340220000
2021,Mar,1563760000
2021,May,1503678000
2021,Nov,1515990000
2021,Oct,1273466000
2021,Sep,1250554000
2022,Apr,1465008000
2022,Aug,1170449000
2022,Dec,1549193300
2022,Feb,1689604000
2022,Jan,1524654000
2022,Jul,1337852600
2022,Jun,1767601100
2022,Mar,1628486000
2022,May,2258476000
2022,Nov,2035133200
2022,Oct,1459311500
2022,Sep,1210487600
2023,Apr,1224083600
2023,Aug,1210426200
2023,Dec,931128600
2023,Feb,1364102000
2023,Jan,1523798600
2023,Jul,1058754800
2023,Jun,1242648800
2023,Mar,1349240300
2023,May,1432891600
2023,Nov,1025986900
2023,Oct,1224564700
2023,Sep,1120271900
2024,Apr,917021100
2024,Aug,971023900
2024,Feb,1045061200
2024,Jan,953344900
2024,Jul,868061100
2024,Jun,813276000
2024,Mar,701928900
2024,May,892301700
2024,Nov,329953900
2024,Oct,787117700
2024,Sep,765028800
